id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow,symbol,year_label
37,TCS,Mar 2013,11615.0,-6038.0,-5729.0,-152.0,5577.0,TCS,Mar 2013
38,TCS,Mar 2014,14751.0,-9452.0,-5673.0,-374.0,5299.0,TCS,Mar 2014
39,TCS,Mar 2015,19369.0,-1807.0,-17168.0,394.0,17562.0,TCS,Mar 2015
40,TCS,Mar 2016,19109.0,-5010.0,-9666.0,4433.0,14099.0,TCS,Mar 2016
41,TCS,Mar 2017,25223.0,-16895.0,-11026.0,-2698.0,8328.0,TCS,Mar 2017
42,TCS,Mar 2018,25067.0,3104.0,-26885.0,1286.0,28171.0,TCS,Mar 2018
43,TCS,Mar 2019,28593.0,1645.0,-27897.0,2341.0,30238.0,TCS,Mar 2019
44,TCS,Mar 2020,32369.0,8968.0,-39915.0,1422.0,41337.0,TCS,Mar 2020
45,TCS,Mar 2021,38802.0,-7956.0,-32634.0,-1788.0,30846.0,TCS,Mar 2021
46,TCS,Mar 2022,39949.0,-738.0,-33581.0,5630.0,39211.0,TCS,Mar 2022
47,TCS,Mar 2023,41965.0,548.0,-47878.0,-5365.0,42513.0,TCS,Mar 2023
48,TCS,Mar 2024,44338.0,6091.0,-48536.0,1893.0,50429.0,TCS,Mar 2024
61,ABB,Dec 2012,101.0,-59.0,-42.0,1.0,42.0,ABB,Dec 2012
62,ABB,Mar 2014,155.0,-144.0,-42.0,-31.0,11.0,ABB,Mar 2014
63,ABB,Mar 2015,215.0,-187.0,-58.0,-30.0,28.0,ABB,Mar 2015
64,ABB,Mar 2016,249.0,-77.0,-80.0,91.0,172.0,ABB,Mar 2016
65,ABB,Mar 2017,307.0,-155.0,-90.0,62.0,152.0,ABB,Mar 2017
66,ABB,Mar 2018,153.0,-215.0,-102.0,-165.0,-62.0,ABB,Mar 2018
67,ABB,Mar 2019,499.0,-257.0,-143.0,99.0,242.0,ABB,Mar 2019
68,ABB,Mar 2020,626.0,-401.0,-217.0,8.0,225.0,ABB,Mar 2020
69,ABB,Mar 2021,727.0,-72.0,-582.0,73.0,655.0,ABB,Mar 2021
70,ABB,Mar 2022,948.0,-396.0,-637.0,-86.0,552.0,ABB,Mar 2022
71,ABB,Mar 2023,893.0,-148.0,-639.0,107.0,745.0,ABB,Mar 2023
72,ABB,Mar 2024,1213.0,-416.0,-745.0,52.0,797.0,ABB,Mar 2024
73,ABB,Mar 2014,0.0,0.0,0.0,0.0,0.0,ABB,Mar 2014
74,ABB,Mar 2015,-35.0,-1864.0,1902.0,3.0,-1899.0,ABB,Mar 2015
75,ABB,Mar 2016,1544.0,-816.0,-722.0,6.0,728.0,ABB,Mar 2016
76,ABB,Mar 2017,2189.0,-1730.0,-455.0,4.0,459.0,ABB,Mar 2017
77,ABB,Mar 2018,2198.0,-3192.0,1589.0,596.0,-994.0,ABB,Mar 2018
78,ABB,Mar 2019,2591.0,-3050.0,38.0,-421.0,-459.0,ABB,Mar 2019
79,ABB,Mar 2020,5437.0,-5643.0,1250.0,1045.0,-206.0,ABB,Mar 2020
80,ABB,Mar 2021,3784.0,-4009.0,-745.0,-969.0,-225.0,ABB,Mar 2021
81,ABB,Mar 2022,4097.0,-3936.0,-235.0,-75.0,161.0,ABB,Mar 2022
82,ABB,Mar 2023,3777.0,-4699.0,923.0,2.0,-922.0,ABB,Mar 2023
83,ABB,Mar 2024,6038.0,-4943.0,-543.0,551.0,1095.0,ABB,Mar 2024
84,ADANIENSOL,Mar 2014,0.0,0.0,0.0,0.0,0.0,ADANIENSOL,Mar 2014
85,ADANIENSOL,Mar 2015,-35.0,-1864.0,1902.0,3.0,-1899.0,ADANIENSOL,Mar 2015
86,ADANIENSOL,Mar 2016,1544.0,-816.0,-722.0,6.0,728.0,ADANIENSOL,Mar 2016
87,ADANIENSOL,Mar 2017,2189.0,-1730.0,-455.0,4.0,459.0,ADANIENSOL,Mar 2017
88,ADANIENSOL,Mar 2018,2198.0,-3192.0,1589.0,596.0,-994.0,ADANIENSOL,Mar 2018
89,ADANIENSOL,Mar 2019,2591.0,-3050.0,38.0,-421.0,-459.0,ADANIENSOL,Mar 2019
90,ADANIENSOL,Mar 2020,5437.0,-5643.0,1250.0,1045.0,-206.0,ADANIENSOL,Mar 2020
91,ADANIENSOL,Mar 2021,3784.0,-4009.0,-745.0,-969.0,-225.0,ADANIENSOL,Mar 2021
92,ADANIENSOL,Mar 2022,4097.0,-3936.0,-235.0,-75.0,161.0,ADANIENSOL,Mar 2022
93,ADANIENSOL,Mar 2023,3777.0,-4699.0,923.0,2.0,-922.0,ADANIENSOL,Mar 2023
94,ADANIENSOL,Mar 2024,6038.0,-4943.0,-543.0,551.0,1095.0,ADANIENSOL,Mar 2024
95,ADANIENT,Mar 2013,7666.0,-14790.0,7199.0,75.0,-7124.0,ADANIENT,Mar 2013
96,ADANIENT,Mar 2014,8228.0,-8007.0,-1109.0,-888.0,221.0,ADANIENT,Mar 2014
97,ADANIENT,Mar 2015,8532.0,-11465.0,3445.0,512.0,-2933.0,ADANIENT,Mar 2015
98,ADANIENT,Mar 2016,5112.0,-1825.0,-3448.0,-161.0,3287.0,ADANIENT,Mar 2016
99,ADANIENT,Mar 2017,774.0,-1460.0,716.0,30.0,-686.0,ADANIENT,Mar 2017
100,ADANIENT,Mar 2018,2942.0,-7649.0,5120.0,413.0,-4707.0,ADANIENT,Mar 2018
101,ADANIENT,Mar 2019,3236.0,2487.0,-6158.0,-436.0,5723.0,ADANIENT,Mar 2019
102,ADANIENT,Mar 2020,2454.0,-1082.0,-221.0,1151.0,1372.0,ADANIENT,Mar 2020
103,ADANIENT,Mar 2021,4043.0,-8611.0,3109.0,-1459.0,-4568.0,ADANIENT,Mar 2021
104,ADANIENT,Mar 2022,1385.0,-17041.0,15901.0,246.0,-15656.0,ADANIENT,Mar 2022
105,ADANIENT,Mar 2023,17626.0,-15459.0,-1198.0,970.0,2167.0,ADANIENT,Mar 2023
106,ADANIENT,Mar 2024,10312.0,-18767.0,8879.0,424.0,-8455.0,ADANIENT,Mar 2024
107,ADANIGREEN,Mar 2017,28.0,-1511.0,1559.0,76.0,-1483.0,ADANIGREEN,Mar 2017
108,ADANIGREEN,Mar 2018,649.0,-4428.0,3942.0,162.0,-3779.0,ADANIGREEN,Mar 2018
109,ADANIGREEN,Mar 2019,1625.0,-2666.0,1045.0,3.0,-1041.0,ADANIGREEN,Mar 2019
110,ADANIGREEN,Mar 2020,1965.0,-3743.0,2161.0,383.0,-1778.0,ADANIGREEN,Mar 2020
111,ADANIGREEN,Mar 2021,1601.0,-9137.0,7083.0,-453.0,-7536.0,ADANIGREEN,Mar 2021
112,ADANIGREEN,Mar 2022,3127.0,-18730.0,15986.0,383.0,-15603.0,ADANIGREEN,Mar 2022
113,ADANIGREEN,Mar 2023,7265.0,-3857.0,-2973.0,435.0,3408.0,ADANIGREEN,Mar 2023
114,ADANIGREEN,Mar 2024,7713.0,-21060.0,13953.0,606.0,-13347.0,ADANIGREEN,Mar 2024
115,ADANIPORTS,Mar 2013,1379.0,-5136.0,4138.0,381.0,-3757.0,ADANIPORTS,Mar 2013
116,ADANIPORTS,Mar 2014,1132.0,-2510.0,772.0,-606.0,-1378.0,ADANIPORTS,Mar 2014
117,ADANIPORTS,Mar 2015,3057.0,-2485.0,-237.0,335.0,572.0,ADANIPORTS,Mar 2015
118,ADANIPORTS,Mar 2016,2381.0,-4153.0,2170.0,398.0,-1772.0,ADANIPORTS,Mar 2016
119,ADANIPORTS,Mar 2017,4063.0,-2629.0,-1325.0,109.0,1434.0,ADANIPORTS,Mar 2017
120,ADANIPORTS,Mar 2018,5608.0,-3846.0,-1889.0,-127.0,1762.0,ADANIPORTS,Mar 2018
121,ADANIPORTS,Mar 2019,6029.0,-4368.0,2313.0,3975.0,1661.0,ADANIPORTS,Mar 2019
122,ADANIPORTS,Mar 2020,7402.0,-749.0,-4256.0,2397.0,6653.0,ADANIPORTS,Mar 2020
123,ADANIPORTS,Mar 2021,7556.0,-14064.0,3514.0,-2994.0,-6508.0,ADANIPORTS,Mar 2021
124,ADANIPORTS,Mar 2022,10420.0,-5493.0,-586.0,4341.0,4927.0,ADANIPORTS,Mar 2022
125,ADANIPORTS,Mar 2023,11900.0,-16716.0,-2734.0,-7550.0,-4816.0,ADANIPORTS,Mar 2023
126,ADANIPORTS,Mar 2024,15018.0,-6768.0,-7800.0,450.0,8250.0,ADANIPORTS,Mar 2024
127,ADANIPOWER,Mar 2013,3001.0,-4064.0,861.0,-203.0,-1063.0,ADANIPOWER,Mar 2013
128,ADANIPOWER,Mar 2014,3238.0,-4700.0,1631.0,169.0,-1462.0,ADANIPOWER,Mar 2014
129,ADANIPOWER,Mar 2015,5824.0,-4737.0,-1144.0,-58.0,1087.0,ADANIPOWER,Mar 2015
130,ADANIPOWER,Mar 2016,5257.0,-2692.0,-2713.0,-148.0,2565.0,ADANIPOWER,Mar 2016
131,ADANIPOWER,Mar 2017,4725.0,-1212.0,-3539.0,-26.0,3513.0,ADANIPOWER,Mar 2017
132,ADANIPOWER,Mar 2018,5101.0,-520.0,-4600.0,-19.0,4581.0,ADANIPOWER,Mar 2018
133,ADANIPOWER,Mar 2019,5610.0,-984.0,-4663.0,-37.0,4626.0,ADANIPOWER,Mar 2019
134,ADANIPOWER,Mar 2020,5598.0,-2304.0,-2377.0,917.0,3294.0,ADANIPOWER,Mar 2020
135,ADANIPOWER,Mar 2021,7014.0,-2188.0,-5655.0,-828.0,4826.0,ADANIPOWER,Mar 2021
136,ADANIPOWER,Mar 2022,10233.0,774.0,-10338.0,669.0,11007.0,ADANIPOWER,Mar 2022
137,ADANIPOWER,Mar 2023,8431.0,1545.0,-10408.0,-433.0,9976.0,ADANIPOWER,Mar 2023
138,ADANIPOWER,Mar 2024,14170.0,3481.0,-16864.0,787.0,17651.0,ADANIPOWER,Mar 2024
139,AMBUJACEM,Dec 2012,1860.0,-388.0,-509.0,962.0,1472.0,AMBUJACEM,Dec 2012
140,AMBUJACEM,Dec 2013,1267.0,-496.0,-672.0,99.0,771.0,AMBUJACEM,Dec 2013
141,AMBUJACEM,Dec 2014,1675.0,-456.0,-721.0,498.0,1219.0,AMBUJACEM,Dec 2014
142,AMBUJACEM,Dec 2015,1557.0,-83.0,-900.0,574.0,1474.0,AMBUJACEM,Dec 2015
143,AMBUJACEM,Dec 2016,2810.0,-4165.0,-958.0,-2312.0,-1355.0,AMBUJACEM,Dec 2016
144,AMBUJACEM,Dec 2017,3416.0,-738.0,-1015.0,1663.0,2678.0,AMBUJACEM,Dec 2017
145,AMBUJACEM,Dec 2018,1703.0,-765.0,-719.0,220.0,938.0,AMBUJACEM,Dec 2018
146,AMBUJACEM,Dec 2019,4739.0,-1191.0,-629.0,2919.0,3548.0,AMBUJACEM,Dec 2019
147,AMBUJACEM,Dec 2020,4832.0,-1317.0,-3956.0,-441.0,3515.0,AMBUJACEM,Dec 2020
148,AMBUJACEM,Dec 2021,5309.0,-2007.0,-516.0,2786.0,3302.0,AMBUJACEM,Dec 2021
149,AMBUJACEM,Mar 2023,735.0,-14481.0,2931.0,-10815.0,-13746.0,AMBUJACEM,Mar 2023
150,AMBUJACEM,Mar 2024,5646.0,-8941.0,5689.0,2394.0,-3295.0,AMBUJACEM,Mar 2024
151,APOLLOHOSP,Mar 2013,443.0,-733.0,373.0,83.0,-290.0,APOLLOHOSP,Mar 2013
152,APOLLOHOSP,Mar 2014,373.0,-356.0,-63.0,-46.0,17.0,APOLLOHOSP,Mar 2014
153,APOLLOHOSP,Mar 2015,470.0,-759.0,392.0,103.0,-289.0,APOLLOHOSP,Mar 2015
154,APOLLOHOSP,Mar 2016,597.0,-888.0,330.0,39.0,-291.0,APOLLOHOSP,Mar 2016
155,APOLLOHOSP,Mar 2017,623.0,-1152.0,477.0,-52.0,-529.0,APOLLOHOSP,Mar 2017
156,APOLLOHOSP,Mar 2018,537.0,-405.0,-108.0,24.0,132.0,APOLLOHOSP,Mar 2018
157,APOLLOHOSP,Mar 2019,905.0,-711.0,-215.0,-20.0,194.0,APOLLOHOSP,Mar 2019
158,APOLLOHOSP,Mar 2020,1293.0,-289.0,-910.0,94.0,1004.0,APOLLOHOSP,Mar 2020
159,APOLLOHOSP,Mar 2021,1265.0,-880.0,-340.0,44.0,385.0,APOLLOHOSP,Mar 2021
160,APOLLOHOSP,Mar 2022,1696.0,-747.0,-792.0,158.0,949.0,APOLLOHOSP,Mar 2022
161,APOLLOHOSP,Mar 2023,1377.0,-857.0,-633.0,-113.0,520.0,APOLLOHOSP,Mar 2023
162,APOLLOHOSP,Mar 2024,1920.0,-1537.0,-311.0,72.0,383.0,APOLLOHOSP,Mar 2024
163,ASIANPAINT,Mar 2013,1187.0,-463.0,-601.0,123.0,724.0,ASIANPAINT,Mar 2013
164,ASIANPAINT,Mar 2014,1402.0,-586.0,-626.0,190.0,816.0,ASIANPAINT,Mar 2014
165,ASIANPAINT,Mar 2015,1188.0,-465.0,-576.0,147.0,723.0,ASIANPAINT,Mar 2015
166,ASIANPAINT,Mar 2016,2243.0,-866.0,-849.0,528.0,1377.0,ASIANPAINT,Mar 2016
167,ASIANPAINT,Mar 2017,1527.0,-681.0,-756.0,90.0,846.0,ASIANPAINT,Mar 2017
168,ASIANPAINT,Mar 2018,2113.0,-1556.0,-1379.0,-822.0,557.0,ASIANPAINT,Mar 2018
169,ASIANPAINT,Mar 2019,2470.0,-918.0,-1117.0,434.0,1552.0,ASIANPAINT,Mar 2019
170,ASIANPAINT,Mar 2020,3038.0,-518.0,-2871.0,-351.0,2520.0,ASIANPAINT,Mar 2020
171,ASIANPAINT,Mar 2021,3683.0,-541.0,-650.0,2492.0,3142.0,ASIANPAINT,Mar 2021
172,ASIANPAINT,Mar 2022,986.0,-317.0,-1808.0,-1138.0,669.0,ASIANPAINT,Mar 2022
173,ASIANPAINT,Mar 2023,4193.0,-1282.0,-2140.0,771.0,2911.0,ASIANPAINT,Mar 2023
174,ASIANPAINT,Mar 2024,6104.0,-2548.0,-2982.0,573.0,3556.0,ASIANPAINT,Mar 2024
189,AGTL,Mar 2018,277.0,-988.0,779.0,68.0,-711.0,AGTL,Mar 2018
190,AGTL,Mar 2019,356.0,791.0,-1077.0,70.0,1147.0,AGTL,Mar 2019
191,AGTL,Mar 2020,492.0,-461.0,-102.0,-71.0,31.0,AGTL,Mar 2020
192,AGTL,Mar 2021,654.0,-770.0,39.0,-78.0,-116.0,AGTL,Mar 2021
193,AGTL,Mar 2022,732.0,-1133.0,422.0,21.0,-401.0,AGTL,Mar 2022
194,AGTL,Mar 2023,853.0,-1167.0,295.0,-19.0,-314.0,AGTL,Mar 2023
195,AGTL,Mar 2024,955.0,-752.0,-78.0,125.0,203.0,AGTL,Mar 2024
196,AXISBANK,Mar 2013,2573.0,-10939.0,14931.0,6566.0,-8366.0,AXISBANK,Mar 2013
197,AXISBANK,Mar 2014,14464.0,-14166.0,7785.0,8082.0,298.0,AXISBANK,Mar 2014
198,AXISBANK,Mar 2015,-15162.0,-7972.0,31045.0,7910.0,-23134.0,AXISBANK,Mar 2015
199,AXISBANK,Mar 2016,-34495.0,9211.0,22495.0,-2789.0,-25284.0,AXISBANK,Mar 2016
200,AXISBANK,Mar 2017,32209.0,-12458.0,-2487.0,17263.0,19751.0,AXISBANK,Mar 2017
201,AXISBANK,Mar 2018,-38390.0,-10007.0,41342.0,-7055.0,-48397.0,AXISBANK,Mar 2018
202,AXISBANK,Mar 2019,37125.0,-18674.0,5643.0,24094.0,18451.0,AXISBANK,Mar 2019
203,AXISBANK,Mar 2020,30416.0,-9485.0,8865.0,29795.0,20931.0,AXISBANK,Mar 2020
204,AXISBANK,Mar 2021,12633.0,-54288.0,7279.0,-34375.0,-41655.0,AXISBANK,Mar 2021
205,AXISBANK,Mar 2022,28137.0,-27112.0,47894.0,48919.0,1025.0,AXISBANK,Mar 2022
206,AXISBANK,Mar 2023,22075.0,-32351.0,6641.0,-3636.0,-10276.0,AXISBANK,Mar 2023
207,AXISBANK,Mar 2024,-5555.0,-9001.0,22341.0,7785.0,-14556.0,AXISBANK,Mar 2024
208,BAJAJ-AUTO,Mar 2013,2218.0,-1394.0,-1445.0,-621.0,824.0,BAJAJ-AUTO,Mar 2013
209,BAJAJ-AUTO,Mar 2014,3502.0,-2072.0,-1496.0,-66.0,1430.0,BAJAJ-AUTO,Mar 2014
210,BAJAJ-AUTO,Mar 2015,2114.0,-380.0,-1644.0,90.0,1734.0,BAJAJ-AUTO,Mar 2015
211,BAJAJ-AUTO,Mar 2016,3690.0,-68.0,-3384.0,238.0,3622.0,BAJAJ-AUTO,Mar 2016
212,BAJAJ-AUTO,Mar 2017,3267.0,-3610.0,-190.0,-532.0,-343.0,BAJAJ-AUTO,Mar 2017
213,BAJAJ-AUTO,Mar 2018,4328.0,-1954.0,-1885.0,488.0,2374.0,BAJAJ-AUTO,Mar 2018
214,BAJAJ-AUTO,Mar 2019,2487.0,-273.0,-2074.0,140.0,2214.0,BAJAJ-AUTO,Mar 2019
215,BAJAJ-AUTO,Mar 2020,3850.0,1766.0,-6247.0,-630.0,5616.0,BAJAJ-AUTO,Mar 2020
216,BAJAJ-AUTO,Mar 2021,3120.0,-2869.0,-20.0,231.0,251.0,BAJAJ-AUTO,Mar 2021
217,BAJAJ-AUTO,Mar 2022,4197.0,276.0,-4056.0,417.0,4473.0,BAJAJ-AUTO,Mar 2022
218,BAJAJ-AUTO,Mar 2023,5277.0,1211.0,-7181.0,-692.0,6488.0,BAJAJ-AUTO,Mar 2023
219,BAJAJ-AUTO,Mar 2024,6558.0,-72.0,-6167.0,319.0,6486.0,BAJAJ-AUTO,Mar 2024
220,BAJAJ-AUTO,Mar 2013,2218.0,-1394.0,-1445.0,-621.0,824.0,BAJAJ-AUTO,Mar 2013
221,BAJAJ-AUTO,Mar 2014,3502.0,-2072.0,-1496.0,-66.0,1430.0,BAJAJ-AUTO,Mar 2014
222,BAJAJ-AUTO,Mar 2015,2114.0,-380.0,-1644.0,90.0,1734.0,BAJAJ-AUTO,Mar 2015
223,BAJAJ-AUTO,Mar 2016,3690.0,-68.0,-3384.0,238.0,3622.0,BAJAJ-AUTO,Mar 2016
224,BAJAJ-AUTO,Mar 2017,3267.0,-3610.0,-190.0,-532.0,-343.0,BAJAJ-AUTO,Mar 2017
225,BAJAJ-AUTO,Mar 2018,4328.0,-1954.0,-1885.0,488.0,2374.0,BAJAJ-AUTO,Mar 2018
226,BAJAJ-AUTO,Mar 2019,2487.0,-273.0,-2074.0,140.0,2214.0,BAJAJ-AUTO,Mar 2019
227,BAJAJ-AUTO,Mar 2020,3850.0,1766.0,-6247.0,-630.0,5616.0,BAJAJ-AUTO,Mar 2020
228,BAJAJ-AUTO,Mar 2021,3120.0,-2869.0,-20.0,231.0,251.0,BAJAJ-AUTO,Mar 2021
229,BAJAJ-AUTO,Mar 2022,4197.0,276.0,-4056.0,417.0,4473.0,BAJAJ-AUTO,Mar 2022
230,BAJAJ-AUTO,Mar 2023,5277.0,1211.0,-7181.0,-692.0,6488.0,BAJAJ-AUTO,Mar 2023
231,BAJAJ-AUTO,Mar 2024,6558.0,-72.0,-6167.0,319.0,6486.0,BAJAJ-AUTO,Mar 2024
232,BAJAJFINSV,Mar 2013,-6922.0,2953.0,4592.0,623.0,-3969.0,BAJAJFINSV,Mar 2013
233,BAJAJFINSV,Mar 2014,-9807.0,3764.0,6521.0,478.0,-6043.0,BAJAJFINSV,Mar 2014
234,BAJAJFINSV,Mar 2015,-10731.0,3709.0,6839.0,-183.0,-7022.0,BAJAJFINSV,Mar 2015
235,BAJAJFINSV,Mar 2016,-9795.0,-886.0,11602.0,921.0,-10681.0,BAJAJFINSV,Mar 2016
236,BAJAJFINSV,Mar 2017,-10922.0,151.0,12513.0,1742.0,-10771.0,BAJAJFINSV,Mar 2017
237,BAJAJFINSV,Mar 2018,-19580.0,-922.0,19590.0,-911.0,-20502.0,BAJAJFINSV,Mar 2018
238,BAJAJFINSV,Mar 2019,-27076.0,-6903.0,34535.0,555.0,-33979.0,BAJAJFINSV,Mar 2019
239,BAJAJFINSV,Mar 2020,-23369.0,-9948.0,34479.0,1162.0,-33317.0,BAJAJFINSV,Mar 2020
240,BAJAJFINSV,Mar 2021,4547.0,-3684.0,1687.0,2551.0,863.0,BAJAJFINSV,Mar 2021
241,BAJAJFINSV,Mar 2022,-33670.0,1445.0,32326.0,101.0,-32225.0,BAJAJFINSV,Mar 2022
242,BAJAJFINSV,Mar 2023,-39480.0,-13945.0,51016.0,-2409.0,-53425.0,BAJAJFINSV,Mar 2023
243,BAJAJFINSV,Mar 2024,-68674.0,-10960.0,82709.0,3075.0,-79634.0,BAJAJFINSV,Mar 2024
244,BAJAJHLDNG,Mar 2013,473.0,-369.0,-332.0,-228.0,104.0,BAJAJHLDNG,Mar 2013
245,BAJAJHLDNG,Mar 2014,872.0,-519.0,-326.0,27.0,353.0,BAJAJHLDNG,Mar 2014
246,BAJAJHLDNG,Mar 2015,796.0,-464.0,-391.0,-59.0,332.0,BAJAJHLDNG,Mar 2015
247,BAJAJHLDNG,Mar 2016,1147.0,1019.0,-761.0,1406.0,2166.0,BAJAJHLDNG,Mar 2016
248,BAJAJHLDNG,Mar 2017,-923.0,-372.0,-110.0,-1406.0,-1295.0,BAJAJHLDNG,Mar 2017
249,BAJAJHLDNG,Mar 2018,1631.0,-1123.0,-434.0,74.0,508.0,BAJAJHLDNG,Mar 2018
250,BAJAJHLDNG,Mar 2019,628.0,-163.0,-536.0,-72.0,465.0,BAJAJHLDNG,Mar 2019
251,BAJAJHLDNG,Mar 2020,1920.0,-800.0,-1028.0,92.0,1120.0,BAJAJHLDNG,Mar 2020
252,BAJAJHLDNG,Mar 2021,272.0,-308.0,-37.0,-73.0,-36.0,BAJAJHLDNG,Mar 2021
253,BAJAJHLDNG,Mar 2022,1610.0,-151.0,-1460.0,-1.0,1459.0,BAJAJHLDNG,Mar 2022
254,BAJAJHLDNG,Mar 2023,1728.0,-137.0,-1587.0,4.0,1591.0,BAJAJHLDNG,Mar 2023
255,BAJAJHLDNG,Mar 2024,1941.0,-472.0,-1455.0,14.0,1469.0,BAJAJHLDNG,Mar 2024
256,BAJFINANCE,Mar 2015,-7064.0,-360.0,6867.0,-557.0,-7424.0,BAJFINANCE,Mar 2015
257,BAJFINANCE,Mar 2016,-9870.0,-687.0,11656.0,1100.0,-10557.0,BAJFINANCE,Mar 2016
258,BAJFINANCE,Mar 2017,-10439.0,-3047.0,12513.0,-972.0,-13486.0,BAJFINANCE,Mar 2017
259,BAJFINANCE,Mar 2018,-20566.0,1075.0,19503.0,13.0,-19491.0,BAJFINANCE,Mar 2018
260,BAJFINANCE,Mar 2019,-29062.0,-5379.0,34449.0,9.0,-34441.0,BAJFINANCE,Mar 2019
261,BAJFINANCE,Mar 2020,-24412.0,-8758.0,34167.0,998.0,-33170.0,BAJFINANCE,Mar 2020
262,BAJFINANCE,Mar 2021,-807.0,-429.0,1741.0,505.0,-1236.0,BAJFINANCE,Mar 2021
263,BAJFINANCE,Mar 2022,-37090.0,6347.0,32275.0,1532.0,-30743.0,BAJFINANCE,Mar 2022
264,BAJFINANCE,Mar 2023,-42112.0,-10394.0,50675.0,-1831.0,-52506.0,BAJFINANCE,Mar 2023
265,BAJFINANCE,Mar 2024,-72760.0,-7171.0,82415.0,2484.0,-79931.0,BAJFINANCE,Mar 2024
266,BANKBARODA,Mar 2013,23196.0,-514.0,-790.0,21892.0,22682.0,BANKBARODA,Mar 2013
267,BANKBARODA,Mar 2014,42233.0,-730.0,5151.0,46654.0,41503.0,BANKBARODA,Mar 2014
268,BANKBARODA,Mar 2015,17838.0,-556.0,-6.0,17276.0,17282.0,BANKBARODA,Mar 2015
269,BANKBARODA,Mar 2016,-10011.0,-4005.0,-616.0,-14632.0,-14016.0,BANKBARODA,Mar 2016
270,BANKBARODA,Mar 2017,17865.0,-551.0,-198.0,17116.0,17314.0,BANKBARODA,Mar 2017
271,BANKBARODA,Mar 2018,-59692.0,-414.0,3413.0,-56692.0,-60106.0,BANKBARODA,Mar 2018
272,BANKBARODA,Mar 2019,-1449.0,-2537.0,4449.0,462.0,-3986.0,BANKBARODA,Mar 2019
273,BANKBARODA,Mar 2020,18531.0,-139.0,14729.0,33120.0,18392.0,BANKBARODA,Mar 2020
274,BANKBARODA,Mar 2021,-887.0,-471.0,-986.0,-2344.0,-1358.0,BANKBARODA,Mar 2021
275,BANKBARODA,Mar 2022,6210.0,-3645.0,-998.0,1567.0,2565.0,BANKBARODA,Mar 2022
276,BANKBARODA,Mar 2023,-21354.0,-1096.0,-5405.0,-27855.0,-22450.0,BANKBARODA,Mar 2023
277,BANKBARODA,Mar 2024,-6274.0,-1285.0,5476.0,-2084.0,-7559.0,BANKBARODA,Mar 2024
278,BEL,Mar 2013,-1539.0,1753.0,-158.0,56.0,214.0,BEL,Mar 2013
279,BEL,Mar 2014,-569.0,759.0,-213.0,-23.0,190.0,BEL,Mar 2014
280,BEL,Mar 2015,1434.0,-839.0,-209.0,386.0,595.0,BEL,Mar 2015
281,BEL,Mar 2016,2260.0,-1470.0,-318.0,472.0,790.0,BEL,Mar 2016
282,BEL,Mar 2017,-61.0,3115.0,-2857.0,197.0,3054.0,BEL,Mar 2017
283,BEL,Mar 2018,-687.0,-6.0,-1202.0,-1895.0,-693.0,BEL,Mar 2018
284,BEL,Mar 2019,1514.0,-896.0,-663.0,-45.0,618.0,BEL,Mar 2019
285,BEL,Mar 2020,2570.0,-649.0,-1061.0,861.0,1921.0,BEL,Mar 2020
286,BEL,Mar 2021,5093.0,-2595.0,-1076.0,1422.0,2498.0,BEL,Mar 2021
287,BEL,Mar 2022,4207.0,-4872.0,-1078.0,-1742.0,-665.0,BEL,Mar 2022
288,BEL,Mar 2023,1199.0,2708.0,-1262.0,2645.0,3907.0,BEL,Mar 2023
289,BEL,Mar 2024,4659.0,-5924.0,-1475.0,-2739.0,-1265.0,BEL,Mar 2024
290,BHARTIARTL,Mar 2013,22608.0,-18676.0,-4566.0,-634.0,3932.0,BHARTIARTL,Mar 2013
291,BHARTIARTL,Mar 2014,26233.0,-25181.0,2774.0,3826.0,1052.0,BHARTIARTL,Mar 2014
292,BHARTIARTL,Mar 2015,28059.0,-22301.0,-9672.0,-3914.0,5758.0,BHARTIARTL,Mar 2015
